player_name,position,goals,assists,shots,xG,xA,time,h_team,a_team,h_goals,a_goals,key_passes
Riyad Mahrez 750,MR,1,1,1,0.1170620024204254,0.5485690236091614,79,Manchester City,Leicester,1,3,1
André Ayew 713,MC,0,0,5,0.3679539859294891,0.0,90,Swansea,Crystal Palace,1,1,0
Idrissa Gueye 668,MC,0,0,0,0.0,0.1388690024614334,90,Aston Villa,Norwich,2,0,2
Aaron Cresswell 534,ML,0,0,1,0.0155351003631949,0.0140383001416921,90,Southampton,West Ham,1,0,1
Cédric Soares 847,MR,0,0,1,0.0815680995583534,0.0418372005224227,90,Southampton,West Ham,1,0,1
Michail Antonio 531,MR,0,0,0,0.0,0.0,74,Southampton,West Ham,1,0,0
Matt Ritchie 461,MR,0,0,5,0.124950997531414,0.0164970997720956,68,Bournemouth,Arsenal,0,2,1
James Ward-Prowse 843,MC,0,1,1,0.0151816997677087,0.4913620054721832,90,Swansea,Southampton,0,1,3
Oriol Romeu 842,MC,0,0,4,0.3323909938335418,0.0,64,Swansea,Southampton,0,1,0
Nathan Redmond 790,MR,0,0,1,0.0844049975275993,0.0760347992181778,90,Norwich,West Ham,2,2,3
Wilfried Zaha 522,MR,0,0,1,0.0356865003705024,0.6242349743843079,90,Crystal Palace,Watford,1,2,2
Junior Stanislas 463,MR,0,0,2,0.3188340067863464,0.0148539002984762,77,Bournemouth,Stoke,1,3,1
Marc Albrighton 753,ML,0,0,0,0.0,0.4674969911575317,85,Arsenal,Leicester,2,1,2
N&#039;Golo Kanté 751,MC,0,0,3,0.0572643987834453,0.0265321992337703,90,Arsenal,Leicester,2,1,1
Riyad Mahrez 750,MR,0,0,0,0.0,0.0184378996491432,60,Arsenal,Leicester,2,1,1
Idrissa Gueye 668,MC,0,0,0,0.0,0.0,90,Aston Villa,Liverpool,0,6,0
James Milner 489,MR,1,0,1,0.0381239987909793,0.1368529945611953,90,Aston Villa,Liverpool,0,6,1
Jordan Henderson 605,MC,0,1,1,0.1368529945611953,0.0595215000212192,90,Aston Villa,Liverpool,0,6,1
Philippe Coutinho 488,ML,0,2,1,0.0306550990790128,0.7435359954833984,68,Aston Villa,Liverpool,0,6,2
Cheikhou Kouyaté 532,MC,0,0,0,0.0,0.0,90,West Ham,Sunderland,1,0,0
Manuel Lanzini 535,MC,0,0,1,0.0330553986132144,0.0176436007022857,66,West Ham,Sunderland,1,0,1
Junior Stanislas 463,ML,0,0,0,0.0,0.0,22,Watford,Bournemouth,0,0,0
Matt Ritchie 461,MR,0,0,2,0.0687363967299461,0.1126869991421699,87,Watford,Bournemouth,0,0,2
Marc Albrighton 753,ML,0,0,4,0.1342729926109314,0.5713539719581604,90,Leicester,Norwich,1,0,2
